;Actors;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
1;Adolf Hitler;0,0%;58,3%;68,4%;62,1%;13,7%;36,1%;62,1%;35,9%;58,0%;27,0%;63,2%;30,8%;20,0%;50,4%;52,5%;61,2%;45,9%;22,8%;17,2%;61,4%;55,5%;32,9%;69,8%;69,7%;46,1%;53,5%;56,0%;77,9%;64,1%;23,1%;61,2%;11,8%;17,9%;37,7%;47,8%;31,8%;51,1%;18,2%;10,7%;50,1%;48,8%;29,2%
2;Alexei Navalny;58,3%;0,0%;23,4%;22,9%;55,8%;44,8%;29,2%;28,1%;17,8%;37,7%;23,0%;42,2%;47,8%;22,2%;26,7%;20,3%;41,7%;39,9%;52,5%;25,5%;23,0%;55,9%;23,5%;23,3%;20,7%;29,8%;32,2%;32,6%;30,0%;45,7%;17,6%;49,9%;48,0%;33,0%;36,2%;41,1%;19,4%;49,2%;53,9%;20,3%;32,6%;48,5%
3;Angela Merkel;68,4%;23,4%;0,0%;16,7%;67,5%;57,3%;35,4%;40,1%;25,1%;46,8%;26,2%;49,3%;58,9%;25,2%;34,2%;11,7%;42,6%;51,3%;62,7%;18,3%;23,1%;66,0%;9,0%;10,5%;33,2%;42,9%;33,4%;13,1%;34,6%;56,7%;24,6%;60,3%;58,2%;38,1%;41,9%;53,9%;22,9%;60,5%;63,9%;28,7%;42,5%;56,1%
4;Barack Obama;62,1%;22,9%;16,7%;0,0%;60,5%;49,3%;33,8%;35,7%;27,3%;40,4%;24,1%;43,9%;55,4%;19,0%;27,8%;21,0%;39,2%;47,7%;57,6%;16,0%;12,2%;58,4%;14,6%;15,6%;29,3%;43,7%;31,1%;26,8%;35,6%;52,8%;24,3%;54,1%;53,6%;32,9%;38,1%;51,1%;21,1%;56,4%;57,1%;16,5%;36,1%;50,4%
5;Benito Mussolini;13,7%;55,8%;67,5%;60,5%;0,0%;28,6%;57,9%;35,9%;56,9%;25,5%;59,4%;34,2%;22,5%;50,6%;48,0%;61,0%;47,2%;22,3%;22,4%;61,0%;54,3%;25,2%;68,0%;67,3%;43,4%;50,8%;57,5%;77,2%;61,3%;23,7%;58,2%;13,7%;18,2%;37,5%;49,7%;27,7%;50,7%;17,4%;11,4%;48,4%;47,5%;25,8%
6;Benjamin Netanyahu;36,1%;44,8%;57,3%;49,3%;28,6%;0,0%;54,0%;37,5%;46,3%;28,7%;53,1%;39,5%;36,5%;46,9%;45,3%;52,2%;38,7%;28,3%;30,3%;56,0%;44,3%;38,1%;57,3%;56,9%;39,8%;49,4%;48,4%;67,4%;53,0%;27,7%;51,7%;29,7%;26,6%;32,8%;39,9%;33,4%;44,7%;30,3%;29,0%;37,8%;37,2%;36,4%
7;Bernie Sanders;62,1%;29,2%;35,4%;33,8%;57,9%;54,0%;0,0%;38,2%;43,3%;46,1%;13,2%;48,3%;53,7%;35,2%;18,0%;38,3%;59,4%;48,4%;61,1%;31,1%;39,2%;53,0%;30,5%;28,4%;22,4%;32,4%;55,9%;39,7%;28,0%;54,7%;19,4%;53,9%;53,9%;47,7%;57,5%;43,7%;37,8%;53,7%;58,4%;32,1%;54,2%;52,0%
8;Boris Johnson;35,9%;28,1%;40,1%;35,7%;35,9%;37,5%;38,2%;0,0%;30,0%;23,9%;36,9%;22,0%;25,3%;22,4%;31,4%;33,5%;35,0%;22,4%;34,0%;34,5%;30,6%;38,2%;41,0%;41,5%;23,1%;33,6%;32,9%;50,3%;43,1%;30,7%;32,8%;30,0%;30,4%;19,9%;33,3%;30,1%;25,1%;30,5%;33,8%;25,7%;32,2%;30,4%
9;Boris Yeltsin;58,0%;17,8%;25,1%;27,3%;56,9%;46,3%;43,3%;30,0%;0,0%;35,4%;35,1%;42,9%;46,5%;22,3%;36,6%;17,2%;32,3%;38,6%;50,4%;28,6%;22,9%;60,5%;29,0%;29,7%;29,7%;34,2%;22,4%;33,8%;37,2%;43,4%;27,3%;49,8%;47,2%;26,7%;29,1%;42,6%;16,6%;48,5%;53,2%;28,3%;25,8%;47,9%
10;Charles de Gaulle;27,0%;37,7%;46,8%;40,4%;25,5%;28,7%;46,1%;23,9%;35,4%;0,0%;42,9%;27,6%;23,9%;29,2%;32,8%;40,1%;31,1%;16,1%;25,5%;39,9%;33,3%;36,3%;48,2%;47,6%;27,6%;36,1%;38,3%;56,1%;44,8%;20,3%;39,4%;18,4%;20,9%;19,9%;33,5%;22,8%;29,0%;21,9%;21,1%;31,5%;29,4%;23,8%
11;Claudia Sheinbaum;63,2%;23,0%;26,2%;24,1%;59,4%;53,1%;13,2%;36,9%;35,1%;42,9%;0,0%;46,8%;55,2%;27,1%;14,6%;30,0%;54,0%;48,4%;61,6%;22,4%;30,0%;54,6%;21,1%;18,2%;22,0%;33,0%;48,0%;30,6%;27,9%;54,8%;11,4%;54,7%;54,9%;42,8%;52,5%;45,7%;29,6%;55,4%;58,9%;26,4%;47,7%;49,8%
12;Deng Xiaoping;30,8%;42,2%;49,3%;43,9%;34,2%;39,5%;48,3%;22,0%;42,9%;27,6%;46,8%;0,0%;31,5%;32,5%;41,9%;43,2%;41,9%;29,4%;33,7%;45,5%;40,7%;34,6%;49,9%;50,7%;36,9%;48,4%;41,4%;57,6%;56,1%;35,1%;45,6%;29,0%;31,5%;27,8%;43,5%;40,0%;36,8%;33,2%;32,8%;33,7%;44,9%;23,3%
13;Donald Trump;20,0%;47,8%;58,9%;55,4%;22,5%;36,5%;53,7%;25,3%;46,5%;23,9%;55,2%;31,5%;0,0%;42,6%;45,9%;51,2%;38,6%;11,7%;17,2%;52,4%;48,8%;39,2%;60,7%;60,9%;35,9%;39,7%;48,3%;68,5%;52,3%;15,6%;50,8%;15,3%;14,4%;29,7%;39,6%;20,3%;42,6%;11,2%;18,2%;44,9%;41,2%;33,0%
